order,section,chapter,verse_range,type
1,Abraham's Background & Early Life,21,51-67,quran
2,Abraham's Background & Early Life,6,74-79,quran
3,Abraham's Background & Early Life,19,41-48,quran
4,Abraham's Background & Early Life,26,69-89,quran
5,Breaking the Idols & Persecution,21,51-67,quran
6,Breaking the Idols & Persecution,37,83-98,quran
7,Breaking the Idols & Persecution,29,16-24,quran
8,Breaking the Idols & Persecution,60,4,quran
9,Migration & Journey,29,26,quran
10,Migration & Journey,21,71,quran
11,Migration & Journey,2,124-132,quran
12,Migration & Journey,14,35-41,quran
13,The Visitors & Good News,11,69-76,quran
14,The Visitors & Good News,15,51-60,quran
15,The Visitors & Good News,51,24-30,quran
16,The Visitors & Good News,11,71-73,quran
17,Intercession for Lot's People,11,74-76,quran
18,Intercession for Lot's People,29,31-32,quran
19,The Sacrifice,37,99-111,quran
20,Abraham's Legacy & Character,16,120-123,quran
21,Abraham's Legacy & Character,3,95-97,quran
22,Abraham's Legacy & Character,4,125,quran
23,Abraham's Legacy & Character,2,135-141,quran
24,Abraham's Legacy & Character,3,65-68,quran
25,Hadith References,93,608,hadith
26,Hadith References,55,116-117,hadith
27,Hadith References,60,3,hadith
