order,section,chapter,verse_range,type
1,1 – Ayyub Among the Prophets,6,84,quran
2,1 – Ayyub Among the Prophets,4,163,quran
3,2 – The Trial: Affliction & Suffering,38,41,quran
4,2 – The Trial: Affliction & Suffering,21,83,quran
5,3 – Patience & Perseverance,21,85-86,quran
6,4 – The Prayer & Divine Response,38,42,quran
7,4 – The Prayer & Divine Response,21,84,quran
8,5 – Restoration & Reward,38,43,quran
9,5 – Restoration & Reward,38,44,quran
10,5 – Restoration & Reward,93,585,hadith
11,6 – Lessons on Patience,94,5-6,quran
12,6 – Lessons on Patience,2,153,quran
13,6 – Lessons on Patience,39,10,quran
