order,section,chapter,verse_range,type
1,1 – Abraham's Prayer for a Son,37,100,quran
2,1 – Abraham's Prayer for a Son,14,35-36,quran
3,2 – Glad Tidings of Ishmael,37,101,quran
4,2 – Glad Tidings of Ishmael,15,53-55,quran
5,3 – Leaving Ishmael & Hagar in Mecca,14,37,quran
6,3 – Leaving Ishmael & Hagar in Mecca,14,38-41,quran
7,3 – Leaving Ishmael & Hagar in Mecca,55,583,hadith
8,3 – Leaving Ishmael & Hagar in Mecca,55,582,hadith
9,4 – The Great Sacrifice,37,102-105,quran
10,4 – The Great Sacrifice,37,106-107,quran
11,4 – The Great Sacrifice,37,108-111,quran
12,5 – Building the Kaaba,2,124-126,quran
13,5 – Building the Kaaba,2,127-129,quran
14,5 – Building the Kaaba,22,26-27,quran
15,5 – Building the Kaaba,55,584,hadith
16,6 – Ishmael: True to His Promise,19,54-55,quran
17,6 – Ishmael: True to His Promise,2,136,quran
18,6 – Ishmael: True to His Promise,21,85-86,quran
19,7 – Glad Tidings of Isaac,11,69-73,quran
20,7 – Glad Tidings of Isaac,37,112-113,quran
21,7 – Glad Tidings of Isaac,21,72,quran
22,8 – Isaac & Jacob: The Prophetic Line,19,49-50,quran
23,8 – Isaac & Jacob: The Prophetic Line,29,27,quran
24,9 – The Covenant & Legacy,2,130-133,quran
25,9 – The Covenant & Legacy,3,67-68,quran
