order,section,chapter,verse_range,type
1,Prologue — Allah's Favors Upon the Prophet,93,6,quran
2,Prologue — Allah's Favors Upon the Prophet,93,7,quran
3,Prologue — Allah's Favors Upon the Prophet,93,8,quran
4,Khadija's Noble Lineage & Family,60,187,hadith
5,The First Revelation — Surah Al-Alaq,96,1-5,quran
6,First Revelation & Khadija's Support,1,3,hadith
7,First Revelation & Khadija's Support,87,111,hadith
8,First Revelation & Khadija's Support,60,478,hadith
9,First Revelation & Khadija's Support,55,605,hadith
10,First Revelation & Khadija's Support,60,481,hadith
11,The Pause in Revelation,60,444,hadith
12,Revelation Resumes — Surah Al-Muddaththir,74,1-5,quran
13,Surah Ad-Duha — Your Lord Has Not Forsaken You,93,1,quran
14,Surah Ad-Duha — Your Lord Has Not Forsaken You,93,3,quran
15,Gabriel's Greeting & Glad Tidings,58,168,hadith
16,Gabriel's Greeting & Glad Tidings,93,588,hadith
17,The Promise of a Palace in Paradise,27,19,hadith
18,The Promise of a Palace in Paradise,58,167,hadith
19,The Best of Women,55,642,hadith
20,The Best of Women,58,163,hadith
21,The Best of Women,55,643,hadith
22,Khadija's Children — The Legacy of Fatima,58,166,hadith
23,Khadija's Children — The Legacy of Fatima,62,157,hadith
24,Khadija's Children — The Legacy of Fatima,57,62,hadith
25,Khadija's Death & the Year of Sorrow,58,236,hadith
26,Khadija's Death & the Year of Sorrow,58,223,hadith
27,The Prophet's Enduring Love for Khadija,58,164,hadith
28,The Prophet's Enduring Love for Khadija,58,165,hadith
29,The Prophet's Enduring Love for Khadija,62,156,hadith
30,The Prophet's Enduring Love for Khadija,73,33,hadith
31,The Prophet's Enduring Love for Khadija,93,576,hadith
32,Epilogue — Comfort After Hardship,94,1-6,quran
33,Epilogue — Comfort After Hardship,93,9-11,quran
