order,section,chapter,verse_range,type
1,1 – The Family of Imran & Dedication,3,33-34,quran
2,1 – The Family of Imran & Dedication,3,35-36,quran
3,2 – Maryam Accepted & Zakariyya's Guardianship,3,37,quran
4,2 – Maryam Accepted & Zakariyya's Guardianship,3,38-41,quran
5,3 – Chosen Above All Women,3,42-44,quran
6,3 – Chosen Above All Women,55,642,hadith
7,3 – Chosen Above All Women,55,643,hadith
8,4 – The Annunciation,3,45-47,quran
9,4 – The Annunciation,19,16-17,quran
10,4 – The Annunciation,19,18-21,quran
11,5 – The Birth of Jesus,19,22-26,quran
12,6 – Defending Her Honor,19,27-28,quran
13,6 – Defending Her Honor,19,29-33,quran
14,6 – Defending Her Honor,19,34,quran
15,6 – Defending Her Honor,4,156,quran
16,7 – Maryam & Jesus as a Sign,21,91,quran
17,7 – Maryam & Jesus as a Sign,23,50,quran
18,8 – Maryam's Virtue & Devotion,66,11-12,quran
19,8 – Maryam's Virtue & Devotion,5,75,quran
20,8 – Maryam's Virtue & Devotion,58,163,hadith
21,8 – Maryam's Virtue & Devotion,57,113,hadith
