order,section,chapter,verse_range,type
1,1 – Prologue: The Chosen Lineage & Joseph in Egypt,3,33,quran
2,1 – Prologue: The Chosen Lineage & Joseph in Egypt,4,163,quran
3,1 – Prologue: The Chosen Lineage & Joseph in Egypt,12,99-100,quran
4,2 – Moses Among the Prophets,19,51-52,quran
5,2 – Moses Among the Prophets,4,164,quran
6,2 – Moses Among the Prophets,33,7,quran
7,2 – Moses Among the Prophets,6,84,quran
8,2 – Moses Among the Prophets,42,13,quran
9,2 – Moses Among the Prophets,2,136,quran
10,2 – Moses Among the Prophets,3,84,quran
11,2 – Moses Among the Prophets,29,27,quran
12,2 – Moses Among the Prophets,19,53,quran
13,3 – Pharaoh's Tyranny & the Israelites' Oppression,28,5,quran
14,3 – Pharaoh's Tyranny & the Israelites' Oppression,28,3-4,quran
15,3 – Pharaoh's Tyranny & the Israelites' Oppression,28,6,quran
16,3 – Pharaoh's Tyranny & the Israelites' Oppression,40,25,quran
17,3 – Pharaoh's Tyranny & the Israelites' Oppression,2,49,quran
18,3 – Pharaoh's Tyranny & the Israelites' Oppression,14,6,quran
19,4 – Birth of Moses & His Early Years,28,7,quran
20,4 – Birth of Moses & His Early Years,28,8-9,quran
21,4 – Birth of Moses & His Early Years,66,11,quran
22,4 – Birth of Moses & His Early Years,28,10-11,quran
23,4 – Birth of Moses & His Early Years,28,12-13,quran
24,4 – Birth of Moses & His Early Years,20,40,quran
25,4 – Birth of Moses & His Early Years,26,18,quran
26,4 – Birth of Moses & His Early Years,28,14,quran
27,5 – The Incident in the City & Flight to Midian,28,15-16,quran
28,5 – The Incident in the City & Flight to Midian,28,17,quran
29,5 – The Incident in the City & Flight to Midian,28,18-19,quran
30,5 – The Incident in the City & Flight to Midian,28,20-21,quran
31,5 – The Incident in the City & Flight to Midian,26,20,quran
32,5 – The Incident in the City & Flight to Midian,28,22,quran
33,6 – Moses in Midian,28,23,quran
34,6 – Moses in Midian,28,24-25,quran
35,6 – Moses in Midian,28,26,quran
36,6 – Moses in Midian,28,27-28,quran
37,6 – Moses in Midian,48,849,hadith
38,7 – The Divine Call at the Sacred Valley,28,29-30,quran
39,7 – The Divine Call at the Sacred Valley,20,9,quran
40,7 – The Divine Call at the Sacred Valley,79,15,quran
41,7 – The Divine Call at the Sacred Valley,27,7-8,quran
42,7 – The Divine Call at the Sacred Valley,20,11-12,quran
43,7 – The Divine Call at the Sacred Valley,27,9,quran
44,8 – The Signs of the Staff & the Hand,20,17-20,quran
