order,section,chapter,verse_range,type
1,1 – Noah's Place Among the Prophets,3,33,quran
2,1 – Noah's Place Among the Prophets,4,163,quran
3,1 – Noah's Place Among the Prophets,6,84,quran
4,1 – Noah's Place Among the Prophets,33,7,quran
5,1 – Noah's Place Among the Prophets,42,13,quran
6,1 – Noah's Place Among the Prophets,57,26,quran
7,1 – Noah's Place Among the Prophets,19,58,quran
8,2 – Noah Sent as a Warner,71,1-2,quran
9,2 – Noah Sent as a Warner,7,59,quran
10,2 – Noah Sent as a Warner,11,25-26,quran
11,2 – Noah Sent as a Warner,23,23,quran
12,2 – Noah Sent as a Warner,26,106,quran
13,3 – Noah's Preaching and Patience,71,5,quran
14,3 – Noah's Preaching and Patience,11,28,quran
15,3 – Noah's Preaching and Patience,7,61,quran
16,3 – Noah's Preaching and Patience,26,112,quran
17,3 – Noah's Preaching and Patience,29,14,quran
18,4 – The People's Rejection and Hostility,26,105,quran
19,4 – The People's Rejection and Hostility,11,32,quran
20,4 – The People's Rejection and Hostility,54,9,quran
21,4 – The People's Rejection and Hostility,26,116,quran
22,4 – The People's Rejection and Hostility,71,21,quran
23,4 – The People's Rejection and Hostility,71,24,quran
24,4 – The People's Rejection and Hostility,66,10,quran
25,4 – The People's Rejection and Hostility,60,442,hadith
26,5 – Noah's Response and Trust in Allah,10,71,quran
27,5 – Noah's Response and Trust in Allah,11,33,quran
28,5 – Noah's Response and Trust in Allah,11,36,quran
29,6 – Noah Prays Against His People,23,26,quran
30,6 – Noah Prays Against His People,54,10,quran
31,6 – Noah Prays Against His People,26,117,quran
32,6 – Noah Prays Against His People,71,26,quran
33,7 – Command to Build the Ark,11,37-38,quran
34,7 – Command to Build the Ark,23,27,quran
35,8 – The Flood Begins and Boarding the Ark,11,40-41,quran
36,8 – The Flood Begins and Boarding the Ark,23,28,quran
37,9 – Noah and His Son,11,42-43,quran
38,10 – The Flood and the Ark at Sea,54,13,quran
39,10 – The Flood and the Ark at Sea,69,11,quran
40,10 – The Flood and the Ark at Sea,36,41,quran
41,11 – The Flood Subsides and Landing,11,44,quran
42,11 – The Flood Subsides and Landing,23,29,quran
43,11 – The Flood Subsides and Landing,11,48,quran
44,12 – Noah Pleads for His Son,11,45-47,quran
45,13 – Salvation and Deliverance of the Believers,7,64,quran
46,13 – Salvation and Deliverance of the Believers,10,73,quran
47,13 – Salvation and Deliverance of the Believers,26,119,quran
48,13 – Salvation and Deliverance of the Believers,29,15,quran
49,13 – Salvation and Deliverance of the Believers,21,76,quran
50,14 – Destruction of the Disbelievers,25,37,quran
51,14 – Destruction of the Disbelievers,37,82,quran
52,14 – Destruction of the Disbelievers,51,46,quran
53,14 – Destruction of the Disbelievers,53,52,quran
54,15 – The Ark as a Sign and Lesson,54,15,quran
55,15 – The Ark as a Sign and Lesson,23,30,quran
56,15 – The Ark as a Sign and Lesson,17,3,quran
57,15 – The Ark as a Sign and Lesson,2,248,quran
58,16 – Noah's Legacy and Praise,37,75,quran
59,16 – Noah's Legacy and Praise,37,79,quran
60,16 – Noah's Legacy and Praise,37,81,quran
61,16 – Noah's Legacy and Praise,37,83,quran
62,17 – Generations After Noah,23,31,quran
63,17 – Generations After Noah,10,74,quran
64,17 – Generations After Noah,17,17,quran
65,18 – Warning Through Noah's Example,9,70,quran
66,18 – Warning Through Noah's Example,14,9,quran
67,18 – Warning Through Noah's Example,22,42,quran
68,18 – Warning Through Noah's Example,40,5,quran
69,18 – Warning Through Noah's Example,40,31,quran
70,18 – Warning Through Noah's Example,38,12,quran
71,18 – Warning Through Noah's Example,50,12,quran
72,18 – Warning Through Noah's Example,54,43,quran
73,18 – Warning Through Noah's Example,11,89,quran
74,18 – Warning Through Noah's Example,29,40,quran
75,18 – Warning Through Noah's Example,7,69,quran
76,18 – Warning Through Noah's Example,7,89,quran
77,18 – Warning Through Noah's Example,20,39,quran
78,19 – Hadith: Noah Warns of Dajjal,55,553-554,hadith
79,19 – Hadith: Noah Warns of Dajjal,52,290,hadith
80,19 – Hadith: Noah Warns of Dajjal,73,194,hadith
81,19 – Hadith: Noah Warns of Dajjal,59,685,hadith
82,20 – Hadith: Noah as Witness on Judgment Day,55,555,hadith
83,20 – Hadith: Noah as Witness on Judgment Day,60,14,hadith
84,20 – Hadith: Noah as Witness on Judgment Day,92,448,hadith
85,21 – Hadith: The Grand Intercession,55,556,hadith
86,21 – Hadith: The Grand Intercession,60,236,hadith
87,21 – Hadith: The Grand Intercession,60,3,hadith
88,21 – Hadith: The Grand Intercession,76,570,hadith
89,21 – Hadith: The Grand Intercession,93,507,hadith
90,21 – Hadith: The Grand Intercession,93,532,hadith
