order,section,chapter,verse_range,type
1,1 – Heir of David & Prophetic Lineage,6,84,quran
2,1 – Heir of David & Prophetic Lineage,38,30,quran
3,1 – Heir of David & Prophetic Lineage,4,163,quran
4,2 – Wisdom & Judgement,21,78-79,quran
5,2 – Wisdom & Judgement,27,15-16,quran
6,2 – Wisdom & Judgement,80,760,hadith
7,3 – Kingdom: The Wind & The Jinn,34,12,quran
8,3 – Kingdom: The Wind & The Jinn,38,36-37,quran
9,3 – Kingdom: The Wind & The Jinn,21,81-82,quran
10,3 – Kingdom: The Wind & The Jinn,34,13,quran
11,3 – Kingdom: The Wind & The Jinn,38,38-39,quran
12,4 – The Armies of Jinn Men & Birds,27,17,quran
13,4 – The Armies of Jinn Men & Birds,27,18-19,quran
14,5 – The Hoopoe & Queen of Sheba,27,20-21,quran
15,5 – The Hoopoe & Queen of Sheba,27,22-26,quran
16,5 – The Hoopoe & Queen of Sheba,27,27-28,quran
17,5 – The Hoopoe & Queen of Sheba,27,29-31,quran
18,5 – The Hoopoe & Queen of Sheba,27,32-35,quran
19,6 – Confrontation with Sheba,27,36-37,quran
20,6 – Confrontation with Sheba,27,38-40,quran
21,6 – Confrontation with Sheba,27,41-43,quran
22,6 – Confrontation with Sheba,27,44,quran
23,7 – The Trial of Solomon,38,31-33,quran
24,7 – The Trial of Solomon,38,34-35,quran
25,8 – Solomon Cleared of Disbelief,2,102,quran
26,9 – Death of Solomon,34,14,quran
27,9 – Death of Solomon,55,635,hadith
28,9 – Death of Solomon,93,561,hadith
