order,section,chapter,verse_range,type
1,1 – Yunus Among the Messengers,6,84-86,quran
2,1 – Yunus Among the Messengers,37,139,quran
3,2 – The Mission & Departure,37,140,quran
4,2 – The Mission & Departure,37,141,quran
5,3 – Swallowed by the Whale,37,142,quran
6,3 – Swallowed by the Whale,37,143-144,quran
7,4 – The Prayer in Darkness,21,87,quran
8,4 – The Prayer in Darkness,68,48-49,quran
9,5 – Deliverance & Recovery,21,88,quran
10,5 – Deliverance & Recovery,37,145-146,quran
11,6 – The People Who Believed,37,147-148,quran
12,6 – The People Who Believed,10,98,quran
13,7 – Lessons & Legacy,4,163,quran
14,7 – Lessons & Legacy,21,85-86,quran
15,7 – Lessons & Legacy,55,624,hadith
16,7 – Lessons & Legacy,60,128,hadith
17,7 – Lessons & Legacy,93,630,hadith
